Index,Osoite,numero,postiosoite,X,Y
1,Mikkelintie,354,53830,61.052561,28.008279
2,Mikkelintie,354,53830,61.052472,28.008091
3,Mikkelintie,354,53830,61.052404,28.00883
4,Mikkelintie,364,53830,61.053223,28.006078
5,Mikkelintie,348,53830,61.052873,28.006122
6,Mikkelintie,348,53830,61.052604,28.006077
7,Mikkelintie,350,53830,61.052031,28.008299
8,Kärentie,310,53850,61.044707,27.995827
9,Kärentie,310,53850,61.044533,27.995044
10,Kärentie,310,53850,61.044548,27.995452
11,Kärentie,310,53850,61.043886,27.995079
12,Kärentie,373,53850,61.046131,28.001186
13,Kärentie,373,53850,61.0464,28.001158
14,Hämeenlahdentie,153,53830,61.063044,28.025454
15,Hämeenlahdentie,153,53830,61.063189,28.025218
16,Hämeenlahdentie,152,53830,61.063493,28.025487
17,Kärentie,340,53850,61.047337,27.998299
18,Kärentie,340,53850,61.047592,27.997825
19,Hämeenlahdentie,139,53830,61.062266,28.023835
20,Hämeenlahdentie,139,53830,61.06217,28.023425
21,Hämeenlahdentie,53,53830,61.059151,28.029718
22,Hämeenlahdentie,53,53830,61.059468,28.029377
23,Mikkelintie,323,53830,61.050752,28.016
24,Mikkelintie,321,53830,61.050424,28.016656
25,Hämeenlahdentie,55,53830,61.059888,28.028409
26,Hämeenlahdentie,55,53830,61.059928,28.028984
27,Kärentie,371,53850,61.04756,28.002176
28,Kärentie,371,53850,61.047429,28.00295
29,Hämeenlahdentie,97,53830,61.061058,28.026872
30,Hämeenlahdentie,99,53830,61.060938,28.027275
31,Hämeenlahdentie,95,53830,61.060719,28.025397
32,Kärentie,341,53850,61.046969,27.999583
33,Kärentie,251,53850,61.041616,27.997341
34,Kärentie,289,53850,61.044311,27.998352
35,Kärentie,289,53850,61.044245,27.998812
36,Kärentie,281,53850,61.04375,27.997723
37,Kärentie,281,53850,61.04401,27.997861
38,Kärentie,281,53850,61.043979,27.998286
39,Kärentie,269,53850,61.043002,27.996885
40,Kärentie,269,53850,61.042946,27.997253
41,Kärentie,221,53850,61.04082,28.000575
42,Kärentie,221,53850,61.040627,28.001161
43,Kärentie,170,53850,61.035394,27.999719
44,Kärentie,232,53850,61.039684,27.997577
45,Kärentie,232,53850,61.039632,27.998464
46,Kärentie,240,53850,61.040362,27.997006
47,Kärentie,232,53850,61.040078,27.995275
48,Kärentie,228,53850,61.035877,27.998734
49,Kärentie,226,53850,61.039831,27.999488
50,Kärentie,232,53850,61.039871,27.995287
51,Kärentie,232,53850,61.040021,27.998087
52,Kärentie,232,53850,61.039942,27.997844
53,Kärentie,232,53850,61.039899,27.998861
54,Kärentie,240,53850,61.041222,27.995977
55,Kärentie,240,53850,61.040927,27.995764
56,Kärentie,240,53850,61.040936,27.997042
57,Kärentie,240,53850,61.040599,27.996458
58,Kärentie,240,53850,61.040582,27.997568
59,Kärentie,250,53850,61.040841,27.994077
60,Kärentie,248,53850,61.040655,27.99496
61,Kärentie,248,53850,61.04046,27.994583
62,Kärentie,280,53850,61.043845,27.997004
63,Kärentie,280,53850,61.043883,27.99669
64,Kärentie,260,53850,61.04261,27.995317
65,Kärentie,260,53850,61.042866,27.995807
66,Rehvalahdentie,152,53830,61.063916,28.021684
67,Rehvalahdentie,152,53830,61.063984,28.021019
68,Rehvalahdentie,138,53830,61.062923,28.020058
69,Rehvalahdentie,113,53830,61.060688,28.020042
70,Rehvalahdentie,113,53830,61.060779,28.019841
71,Rehvalahdentie,104,53830,61.060648,28.018114
72,Rehvalahdentie,106,53830,61.060111,28.01667
73,Kähönsalmentie,107,53830,61.068535,28.00686
74,Kähönsalmentie,175,53830,61.072061,28.008399
75,Kähönsalmentie,175,53830,61.072027,28.008101
76,Kähönsalmentie,161,53830,61.070902,28.007343
77,Mikkelintie,454,53830,61.059608,27.995109
78,Kähönsalmentie,151,53830,61.070592,28.006684
79,Kähönsalmentie,151,53830,61.070627,28.006815
80,Kärentie,340,53850,61.048636,27.998765
81,Kärentie,291,53850,61.045509,27.997815
82,Kärentie,291,53850,61.045331,27.997662
83,Mikkelintie,421,53830,61.058337,28.001794
84,Vehkataipaleentie,690,53300,61.110245,28.238718
85,Vehkataipaleentie,690,53300,61.110476,28.239024
86,Kahilantie,41,53300,61.104152,28.242246
87,Kahilantie,41,53300,61.104156,28.241838
88,Kahilantie,11,53300,61.105937,28.237529
89,Kahilantie,7,53300,61.106717,28.237763
90,Kahilantie,5,53300,61.106849,28.238047
91,Kahilantie,5,53300,61.107108,28.23815
92,Nukkumalahdentie,26,53300,61.107856,28.238829
93,Nukkumalahdentie,26,53300,61.107885,28.238607
94,Nukkumalahdentie,34,53300,61.108242,28.237823
95,Sudensalmentie,26,53300,61.109211,28.24866
96,Sudensalmentie,22,53300,61.109441,28.249022
97,Salmenrannantie,53,53300,61.110823,28.250134
98,Salmenrannantie,53,53300,61.110966,28.25014
99,Salmenrannantie,53,53300,61.110764,28.250633
100,Salmenrannantie,51,53300,61.110573,28.249939
101,Salmenrannantie,51,53300,61.110429,28.250044
102,Nukkumalahdentie,42,53300,61.109029,28.237204
103,Nukkumalahdentie,42,53300,61.108969,28.236942
104,Nukkumalahdentie,38,53300,61.108434,28.237497
105,Nukkumalahdentie,38,53300,61.108621,28.237652
106,Kahilantie,33,53300,61.104337,28.24075
107,Kahilantie,33,53300,61.104397,28.241012
108,Vehkataipaleentie,612,53300,61.104261,28.244142
109,Vehkataipaleentie,612,53300,61.104231,28.244475
110,Vehkataipaleentie,669,53300,61.109157,28.24183
111,Kahilantie,21,53300,61.105337,28.239324
112,Kahilantie,21,53300,61.105464,28.239217
113,Salmenrannantie,59,53300,61.111084,28.251981
114,Salmenrannantie,49,53300,61.111021,28.249121
115,Nukkumalahdentie,49,53300,61.109563,28.237763
116,Nukkumalahdentie,35,53300,61.109423,28.238296
117,Nukkumalahdentie,35,53300,61.109304,28.238607
118,Kahilantie,25,53300,61.104785,28.23984
119,Kahilantie,29,53300,61.104576,28.240073
120,Kahilantie,33,53300,61.10456,28.240889
121,Sudensalmentie,20,53300,61.109904,28.249522
122,Sudensalmentie,38,53300,61.108207,28.247489
123,Salmenrannantie,55,53300,61.110768,28.251245
124,Salmenrannantie,55,53300,61.110929,28.25127
125,Sudensalmentie,30,53300,61.108891,28.248351
126,Kahilantie,35,53300,61.104349,28.2414
127,Kahilantie,35,53300,61.104395,28.241216
128,Kahilantie,35,53300,61.10449,28.241702
129,Vehkataipaleentie,678,53300,61.109939,28.239875
130,Vehkataipaleentie,678,53300,61.110132,28.240328
131,Vehkataipaleentie,678,53300,61.109717,28.239606
132,Kahilantie,15,53300,61.106044,28.239574
133,Kahilantie,15,53300,61.105796,28.23923
134,Vehkataipaleentie,616,53300,61.104481,28.243557
135,Vehkataipaleentie,616,53300,61.104098,28.243301
136,Vehkataipaleentie,616,53300,61.10426,28.243215
137,Salmenrannantie,21,53300,61.110738,28.244731
138,Salmenrannantie,21,53300,61.110556,28.244983
139,Salmenrannantie,1,53300,61.110258,28.241223
140,Salmenrannantie,1,53300,61.110539,28.241012
141,Sudensalmentie,45,53300,61.107826,28.246008
142,Sudensalmentie,45,53300,61.108061,28.24585
143,Nukkumalahdentie,13,53300,61.107218,28.240882
144,Nukkumalahdentie,13,53300,61.107015,28.240465
145,Ravelintie,51,53300,61.115546,28.262662
146,Ravelintie,51,53300,61.115503,28.262419
147,Ravelintie,7,53300,61.112221,28.25429
148,Ravelintie,7,53300,61.112495,28.253744
149,Ravelintie,29,53300,61.113472,28.256864
150,Ravelintie,29,53300,61.113422,28.257381
151,Ravelintie,29,53300,61.113874,28.257121
152,Ravelintie,25,53300,61.112645,28.256014
153,Ravelintie,27,53300,61.11288,28.256747
154,Ravelintie,27,53300,61.112497,28.256491
155,Ravelintie,25,53300,61.112851,28.256097
156,Ravelintie,37,53300,61.113588,28.258891
157,Salmenrannantie,147,53300,61.117124,28.260034
